open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1670212800000,1290.33,1303.86,1289.08,1300.21,278938.623,1670216399999,361434785.59746,152275,157554.996,204190321.84094,0
1670216400000,1300.20,1304.47,1294.36,1296.63,217018.312,1670219999999,281851362.31846,145853,102281.647,132856874.71120,0
1670220000000,1296.62,1297.27,1293.53,1295.08,113368.227,1670223599999,146841358.24493,80745,53947.612,69878650.39611,0
1670223600000,1295.07,1299.76,1292.90,1296.61,154544.333,1670227199999,200315930.40369,88730,80999.731,104995330.22798,0
1670227200000,1296.62,1304.98,1295.00,1300.98,309030.336,1670230799999,401810401.88249,166879,153011.103,198964159.17470,0
1670230800000,1300.99,1301.25,1293.00,1293.51,189178.511,1670234399999,245288382.65709,124575,81266.571,105375934.71132,0
1670234400000,1293.50,1297.54,1291.00,1295.26,108117.790,1670237999999,139956774.25419,77569,50447.105,65307592.25139,0
1670238000000,1295.26,1296.45,1292.52,1294.45,85541.274,1670241599999,110727594.88038,53451,42544.171,55072302.30306,0
1670241600000,1294.49,1294.62,1286.69,1289.81,181350.518,1670245199999,233989090.22289,113236,84797.513,109415148.20350,0
1670245200000,1289.81,1292.00,1281.42,1285.29,189817.590,1670248799999,244426272.45116,107530,87159.097,112280809.11605,0
1670248800000,1285.29,1287.45,1280.00,1284.56,186207.540,1670252399999,239196642.05886,106004,96775.874,124335476.25553,0
1670252400000,1284.55,1284.55,1258.00,1265.65,795758.345,1670255999999,1009236072.89999,377051,373801.341,474039050.08453,0
1670256000000,1265.65,1268.67,1252.62,1258.91,402382.586,1670259599999,507920513.26594,195096,179492.076,226635858.15991,0
1670259600000,1258.90,1265.35,1252.15,1264.00,287454.038,1670263199999,362283698.26768,142294,141145.994,177916785.28880,0
1670263200000,1264.01,1269.79,1260.50,1261.48,184976.548,1670266799999,234099052.00010,99262,81134.348,102693923.56445,0
1670266800000,1261.48,1263.18,1246.00,1252.98,410517.907,1670270399999,514255670.81825,202735,197452.935,247384298.23366,0
1670270400000,1252.97,1257.08,1251.04,1256.00,150363.186,1670273999999,188622961.91421,77246,82570.921,103593343.93944,0
1670274000000,1255.99,1259.40,1255.29,1258.94,85507.665,1670277599999,107477270.45423,49039,43436.686,54599746.16633,0
1670277600000,1258.94,1260.51,1256.07,1258.56,83365.648,1670281199999,104871137.16849,46760,39076.298,49163386.19340,0
1670281200000,1258.57,1260.00,1254.00,1258.66,96865.007,1670284799999,121808923.93846,56389,47428.297,59650374.19111,0
